id,title,body,department,sentiment
31,Sapori del territorio valorizzati,"Menu che racconta la regione piatto dopo piatto, esperienza enogastronomica vera.",F&B,positive
32,Colazione continentale ben fatta,Nulla di estremamente originale ma tutto fresco e ben organizzato.,F&B,positive
33,Servizio al tavolo impeccabile,"Nessuna attesa tra una portata e l altra, bicchieri sempre riforniti.",F&B,positive
34,Angolo glutenfree curato,"Prodotti separati e chiaramente etichettati, chef sensibile al tema.",F&B,positive
35,Bar hotel consigliato,"Barman creativo ha preparato un cocktail personalizzato per mia moglie, davvero bravo.",F&B,positive
36,Pranzo leggero ma gustoso,"Insalata di farro con verdure arrostite era fantastica, ci siamo sentiti leggeri tutto il pomeriggio.",F&B,positive
37,Cucina aperta tutto il giorno,"Utile per chi ha orari diversi, abbiamo cenato tardi senza problemi.",F&B,positive
38,Scelta ampia per bambini,"Menu dedicato ai piccoli con piatti semplici ma fatti bene, non i soliti nuggets surgelati.",F&B,positive
39,Pasticcere di talento,I suoi mignon di mezzanotte sono diventati un appuntamento fisso della vacanza.,F&B,positive
40,Enoteca ben fornita,"Oltre 200 etichette in carta, anche al bicchiere, sommelier giovane ma preparato.",F&B,positive
41,Cena a buffet con show cooking,"Lo chef cuoceva al momento gli spiedini di pesce, atmosfera divertente e cibo ottimo.",F&B,positive
42,Angolo etnico apprezzato,"Sushi preparato al momento e dimsum fatti in casa, scelta inaspettata e di qualità.",F&B,positive
43,Frutta fresca sempre disponibile,"Ciotole riempite in continuazione con frutta di stagione, piccolo dettaglio che ha fatto la differenza.",F&B,positive
44,Cappuccino come in pasticceria,"Latte montato benissimo e disegno sulla schiuma curato, caffè di torrefattore locale.",F&B,positive
45,Sala ristorante silenziosa,"Acustica studiata bene, niente rimbombi fastidiosi pur essendo piena.",F&B,positive
46,Servizio gentile e sorridente,"Personale di sala sempre disponibile, si capisce che lavorano con il cuore.",F&B,positive
47,Carta cocktail interessante,"Miscelazione classica e qualche sperimentazione riuscita, drink list ricca.",F&B,positive
48,Colazione ricca e genuina,"Pane fatto dal forno del paese, marmellate artigianali e salumi locali.",F&B,positive
49,Piatti del giorno azzeccati,"Ogni giorno una proposta diversa legata alla stagione, scelta sempre ispirata.",F&B,positive
50,Ristorante con vista mare,"Atmosfera impagabile al tramonto, e anche i piatti erano all altezza della location.",F&B,positive
51,Merenda pomeridiana gradita,"Tè caldo accompagnato da biscotti fatti in casa, un piacere rientrare dalla spiaggia.",F&B,positive
52,Qualità della carne eccellente,"La tagliata era cotta perfettamente, carne di razza chianina, tenera e saporita.",F&B,positive
53,Cena di compleanno indimenticabile,"Hanno preparato una torta a sorpresa senza che chiedessimo nulla, gesto bellissimo.",F&B,positive
54,Servizio impeccabile a bordo piscina,"Ordinato un cocktail e arrivato al lettino in pochi minuti, cortesia esemplare.",F&B,positive
55,Cucina sana ed equilibrata,"Molte opzioni vegetariane e integrali, per chi ha attenzione alla salute è il posto giusto.",F&B,positive
56,Selezione formaggi notevole,"Carrello dei formaggi con accostamenti di miele e confetture, ottima conclusione di cena.",F&B,positive
57,Pane fatto in casa,"Servono tre tipi di pane e grissini, impasti diversi e ben cotti.",F&B,positive
58,Cucina regionale autentica,Finalmente un hotel che non serve i soliti piatti internazionali standardizzati.,F&B,positive
59,Chef pasticcere straordinario,Il suo babà al rum è il motivo per cui torneremo sicuramente l anno prossimo.,F&B,positive
60,Colazione con vista giardino,"Tavoli all aperto con fiori freschi, atmosfera rilassante per iniziare la giornata.",F&B,positive
61,Servizio bar elegante,"Poltrone comode e luce soffusa, ideale per un dopocena tranquillo.",F&B,positive
62,Pranzo di lavoro rapido ed efficiente,"Menu veloce a prezzo fisso, cibo dignitoso e tempi rispettati.",F&B,positive
63,Pesce locale a km zero,Si capisce dalla freschezza che arriva direttamente dal porto vicino.,F&B,positive
64,Sala colazioni luminosa e ordinata,"Disposizione del buffet logica e ben segnalata, mai creato confusione.",F&B,positive
65,Personale gentile al ristorante,"Camerieri sorridenti che ti accolgono con il nome, bel modo di iniziare la serata.",F&B,positive
66,Pizza napoletana autentica,"Forno a legna vero e impasto a lunga lievitazione, sapori decisi come piace a noi.",F&B,positive
67,Spezie e aromi usati con maestria,"I piatti sono profumatissimi, la cucina sa ciò che fa.",F&B,positive
68,Scelta tè e tisane eccellente,"Oltre venti varietà tra cui scegliere, anche tisane particolari, piccolo lusso.",F&B,positive
69,Cena tipica della tradizione,"Finalmente gli gnocchi come li faceva mia nonna, bravi in cucina.",F&B,positive
70,Gelato fatto in casa buonissimo,"Gusti classici e qualche sperimentazione azzeccata, pistacchio da urlo.",F&B,positive
71,Camera pulitissima,"Ogni giorno pulizie impeccabili, bagno profumato e lenzuola cambiate regolarmente.",Housekeeping,positive
72,Pulizia sopra le aspettative,"Non ho mai visto una stanza d albergo così in ordine, complimenti alle cameriere ai piani.",Housekeeping,positive
73,Stanza impeccabile,"Tutto al posto giusto, doccia brillante, tappeti aspirati ogni mattina.",Housekeeping,positive
74,Servizio ai piani attento,"Le ragazze delle pulizie sono gentili e professionali, sempre disponibili.",Housekeeping,positive
75,Biancheria freschissima,"Lenzuola stirate e profumate, asciugamani morbidi e in abbondanza.",Housekeeping,positive
76,Camera in perfetto ordine,Al rientro dalla giornata trovavamo sempre tutto sistemato con cura.,Housekeeping,positive
77,Pulizia quotidiana eccellente,"Perfino i bicchieri vengono sostituiti ogni giorno, attenzione rara.",Housekeeping,positive
78,Bagno splendente,"Sanitari sempre puliti e lucidi, nessun segno di calcare, mai capitato prima.",Housekeeping,positive
79,Governante meravigliosa,La signora che si occupava del nostro piano era una garanzia di ordine.,Housekeeping,positive
80,Pulizie minuziose,Ho notato che pulivano anche dietro i comodini e sotto il letto.,Housekeeping,positive
81,Stanza fresca e profumata,"All ingresso si sentiva un leggero profumo di lavanda, mai odore di chiuso.",Housekeeping,positive
82,Cura dei dettagli,"Gli asciugamani erano piegati a fiore ogni giorno, tocco carino.",Housekeeping,positive
83,Cambio biancheria puntuale,"Ogni tre giorni cambio lenzuola senza che chiedessimo nulla, tutto fresco.",Housekeeping,positive
84,Servizio ai piani silenzioso,"Non hanno mai disturbato, sanno quando entrare e quando aspettare.",Housekeeping,positive
85,Pulizie approfondite,"Hanno anche pulito sotto i letti e dietro i termosifoni, professionalità vera.",Housekeeping,positive
86,Camera sempre in ordine,"Si vedeva che facevano tutto con calma e precisione, non frettolosamente.",Housekeeping,positive
87,Bagno disinfettato bene,"Piastrelle splendenti, rubinetteria brillante, zero muffa anche negli angoli.",Housekeeping,positive
88,Pulizie regolari e discrete,Entravano quando uscivamo e non ci hanno mai disturbato il riposo pomeridiano.,Housekeeping,positive
89,Federe sempre pulite,"Cambiate senza bisogno di chiederlo, tessuto morbido e profumato.",Housekeeping,positive
90,Cameriera ai piani eccezionale,Signora cortese che ci ha anche portato asciugamani extra senza problemi.,Housekeeping,positive
91,Stanza spolverata ogni giorno,"Zero polvere anche sui ripiani alti, ogni superficie igienizzata bene.",Housekeeping,positive
92,Ambiente sano e pulito,"Materassi nuovi e senza odore, cuscini di qualità e federe fresche.",Housekeeping,positive
93,Ordine impeccabile al rientro,"Tutte le nostre cose leggermente sistemate senza invadere, cortesia fine.",Housekeeping,positive
94,Pulizia del bagno notevole,"Doccia pulita a fondo ogni mattina, nessun capello o traccia degli ospiti precedenti.",Housekeeping,positive
95,Servizio governante efficiente,"Risolvono ogni problema in tempi rapidi, sostituita tenda rotta in mezz ora.",Housekeeping,positive
96,Tappeti sempre aspirati,"Ogni giorno passano con l aspirapolvere, pavimenti davvero puliti.",Housekeeping,positive
97,Asciugamani morbidi e bianchi,"Sembrano nuovi ogni volta, nessuna macchia residua, bucato professionale.",Housekeeping,positive
98,Pulizie ben organizzate,"Hanno un sistema che funziona, ogni giorno la stanza è perfetta alla stessa ora.",Housekeeping,positive
99,Stanza sanificata con cura,"Dopo il covid hanno alzato gli standard e si nota, tutto igienizzato.",Housekeeping,positive
100,Cambio biancheria giornaliero,"Se richiesto cambiano tutto ogni giorno, asciugamani sempre freschi.",Housekeeping,positive
101,Cortesia delle cameriere,"Signora simpatica ci chiedeva sempre se andava tutto bene, umanità vera.",Housekeeping,positive
102,Stanza aerata al mattino,"Aprono la finestra durante le pulizie, si respira bene tutto il giorno.",Housekeeping,positive
103,Dettagli curati nelle pulizie,"Cioccolatino sul cuscino e fiore fresco sul tavolo, piccoli gesti apprezzati.",Housekeeping,positive
104,Pulizia profonda settimanale,"Una volta a settimana pulizia extra approfondita, ottima prassi.",Housekeeping,positive
105,Bagno sempre asciutto,"Hanno un sistema di asciugatura delle pareti che funziona davvero, niente muffa.",Housekeeping,positive
106,Linee vasca impeccabili,"Ho controllato perché di solito sono il punto critico, erano perfette.",Housekeeping,positive
107,Vetri e specchi brillanti,"Pulizia senza aloni, anche gli specchi del bagno sempre nitidi.",Housekeeping,positive
108,Ordine delle stanze ammirevole,"Maid service che lavora con criterio, non lascia mai nulla fuori posto.",Housekeeping,positive
109,Pulizie mattutine puntuali,"Alle dieci e trenta la stanza era già in ordine, perfetto per il rientro pomeridiano.",Housekeeping,positive
110,Profumo di pulito al rientro,"Ogni pomeriggio aprire la porta era un piacere, ambiente sempre fresco.",Housekeeping,positive
111,Cura del dettaglio igienico,"Carta igienica sempre ripiegata a punta, bicchieri coperti, standard alti.",Housekeeping,positive
112,Cuscini extra forniti,"Chiesti due cuscini in più e portati in dieci minuti, servizio rapido.",Housekeeping,positive
113,Servizio impeccabile dalla governante,Signora con quindici anni di esperienza si nota la professionalità.,Housekeeping,positive
114,Stanze sempre pronte in orario,Arrivo alle quindici e trovata camera già pulita e in ordine.,Housekeeping,positive
115,Pulizia dell area comune ottima,"Corridoi e scale sempre impeccabili, staff attento anche alle aree condivise.",Housekeeping,positive
116,Sanificazione seria,"Usano prodotti professionali e si vede, ambienti realmente igienizzati.",Housekeeping,positive
117,Moquette sempre pulita,In un hotel vecchio stile sarebbe facile trascurare ma qui zero macchie.,Housekeeping,positive
118,Cura particolare per gli allergici,"Cuscini antiacaro su richiesta, prodotti senza profumo, attenzione apprezzata.",Housekeeping,positive
119,Ordine al ritorno dalle escursioni,Trovare sempre la stanza pronta è un lusso che aiuta a rilassarsi.,Housekeeping,positive
120,Biancheria di qualità,"Cotone morbido e resistente, non le solite lenzuola sottili da hotel economico.",Housekeeping,positive
121,Pulizie rispettose dei nostri effetti,"Hanno sempre lasciato le nostre cose dove le avevamo messe, rispetto totale.",Housekeeping,positive
122,Piccoli dettagli che fanno la differenza,"Le ciabatte erano sempre allineate perfettamente, carino.",Housekeeping,positive
123,Stanza profumata di fresco,"Usano deodoranti d ambiente delicati, mai invadenti.",Housekeeping,positive
124,Pulizia dei vetri notevole,"Anche la finestra panoramica era sempre perfettamente pulita, panorama cristallino.",Housekeeping,positive
125,Servizio ai piani discretissimo,"Mai sentito rumori di carrelli o cameriere, lavoro silenzioso e professionale.",Housekeeping,positive
126,Pulizie serie e approfondite,"Si capisce che lo staff è ben formato, non fanno le cose tanto per farle.",Housekeeping,positive
127,Asciugamani cambiati a richiesta,"Basta lasciarli a terra e vengono sostituiti, sistema ecologico e pratico.",Housekeeping,positive
128,Bagno igienizzato a fondo,"Anche le fughe tra le piastrelle erano impeccabili, cura ossessiva.",Housekeeping,positive
129,Stanza in ordine dopo ogni pulizia,"Mai trovato nulla fuori posto, lavoro sempre fatto a regola d arte.",Housekeeping,positive
130,Personale ai piani davvero gentile,"Oltre a fare bene il loro lavoro, salutano sempre con il sorriso.",Housekeeping,positive
131,Cameriera attenta alle esigenze,Avevamo chiesto coperte extra e le ha portate prima ancora che lo richiedessimo al pomeriggio.,Housekeeping,positive
132,Pulizia con prodotti ecologici,"Si sente che usano detergenti delicati e biodegradabili, apprezzato.",Housekeeping,positive
133,Governante di grande esperienza,"Si occupa di tutto con professionalità, risolve ogni problema al volo.",Housekeeping,positive
134,Stanza sempre rifornita,"Acqua bottiglie caffè bustine té, nulla mai esaurito, rifornimento giornaliero.",Housekeeping,positive
135,Ordine perfetto del bagno,"Anche dopo averlo usato, tornavamo e trovavamo tutto come nuovo.",Housekeeping,positive
136,Pulizia davvero professionale,"Nessuna macchia sospetta, niente capelli nello scarico, cose che normalmente ti aspetteresti.",Housekeeping,positive
137,Cortesia e pulizia al top,"Combinazione vincente delle cameriere ai piani, complimenti davvero.",Housekeeping,positive
138,Cambio asciugamani sostenibile,"Cartello con opzione eco e rispettata la richiesta, bene per l ambiente.",Housekeeping,positive
139,Pulizie finite sempre per mezzogiorno,"Organizzazione impeccabile, mai rientrati a mezz ora di pulizie in corso.",Housekeeping,positive
140,Camere sempre odoranti di fresco,"Lavanderia interna sicuramente curata, la biancheria lo dimostra.",Housekeeping,positive
141,Standard igienico elevatissimo,"Per stare in ordine serve metodo e qui lo hanno, ogni dettaglio cura.",Housekeeping,positive
142,Check in velocissimo,Appena arrivati ci hanno fatto accomodare e dato le chiavi in meno di cinque minuti.,Reception,positive
143,Reception disponibile 24 ore,Anche alle tre di notte abbiamo trovato qualcuno gentile per un cambio stanza.,Reception,positive
144,Accoglienza calorosa,La signora alla reception ci ha offerto un caffè mentre compilavamo i moduli.,Reception,positive
145,Staff multilingue,"Parlano italiano inglese francese e tedesco, zero problemi di comunicazione.",Reception,positive
146,Informazioni turistiche preziose,"Ci hanno consigliato ristoranti e escursioni fuori dai percorsi classici, ottimi spunti.",Reception,positive
147,Check out rapido,"Poche firme e via, nessuna coda nemmeno in alta stagione.",Reception,positive
148,Reception sempre presidiata,"A qualsiasi ora c era qualcuno pronto ad aiutare, servizio efficiente.",Reception,positive
149,Personale alla reception cortese,"Ragazzi giovani ma molto professionali, sapevano gestire ogni situazione.",Reception,positive
150,Prenotazione gestita perfettamente,"Ho cambiato date tre volte senza alcun problema, flessibilità ammirevole.",Reception,positive
151,Welcome drink offerto,"All arrivo ci hanno offerto un prosecco freddo, bel modo di iniziare la vacanza.",Reception,positive
152,Servizio concierge di livello,"Prenotato ristoranti e taxi in un attimo, conoscono il territorio a menadito.",Reception,positive
153,Upgrade gratuito inaspettato,"All arrivo ci hanno assegnato una junior suite senza sovrapprezzo, sorpresa gradita.",Reception,positive
154,Accoglienza familiare,"Ci siamo sentiti a casa dal primo minuto, staff che ricorda i nomi.",Reception,positive
155,Check in anticipato concesso,"Arrivati alle dieci del mattino e ci hanno fatto entrare in camera subito, gentilezza rara.",Reception,positive
156,Reception con navetta aeroporto,"Servizio gratuito ben organizzato, navetta puntualissima e autista simpatico.",Reception,positive
157,Personale gentile e sorridente,"Sempre pronti a rispondere ai dubbi, nessuna domanda stupida per loro.",Reception,positive
158,Prenotazione ristoranti dall hotel,"Ci hanno prenotato anche ristoranti particolari in centro, ottima rete di contatti.",Reception,positive
159,Parcheggio custodito gestito dalla reception,"Valet parking efficiente, auto sempre pronta in cinque minuti.",Reception,positive
160,Consigli locali azzeccati,"Ci hanno indicato una spiaggia nascosta bellissima, perfetta dritta.",Reception,positive
161,Servizio di sveglia puntuale,"Ci hanno chiamato all orario esatto richiesto, senza insistere troppo.",Reception,positive
162,Staff della reception professionale,"Risolvono tutto in un attimo, efficienza anglosassone.",Reception,positive
163,Accoglienza a cinque stelle,L hotel è a quattro stelle ma l accoglienza merita le cinque.,Reception,positive
164,Informazioni mezzi pubblici precise,Mappa con orari bus e metro fornita con spiegazioni chiare.,Reception,positive
165,Reception centrale e comoda,Posizione strategica dell hotel con reception che sa dare indicazioni precise.,Reception,positive
166,Prenotazione escursioni facilissima,"Ci hanno organizzato una gita in barca in pochi minuti, partner locali affidabili.",Reception,positive
167,Check in con sorriso,"Arrivati stanchi dopo otto ore di auto, l accoglienza ci ha tirato subito su.",Reception,positive
168,Reception aperta 24 su 24,"Servizio sempre attivo, anche per portare acqua calda in camera la notte.",Reception,positive
169,Staff con conoscenza del territorio,"Sembravano autentiche guide turistiche, suggerimenti preziosi.",Reception,positive
170,Cortesia dal primo all ultimo minuto,Dal check in al check out sempre gentili e disponibili.,Reception,positive
171,Reception elegante e accogliente,Ambiente curato con divani comodi per aspettare in attesa.,Reception,positive
172,Personale attento alle esigenze,Avevamo bisogno di un farmaco e ce l hanno procurato senza problemi.,Reception,positive
173,Servizio di custodia bagagli gratuito,"Lasciati in reception al mattino del check out, ritirati comodamente nel pomeriggio.",Reception,positive
174,Receptionist conosce gli ospiti,"Al terzo giorno ci chiamava per nome e ricordava le preferenze, tocco speciale.",Reception,positive
175,Efficienza amministrativa,"Fattura preparata in un minuto, già divisa come richiesto, senza errori.",Reception,positive
176,Reception moderna e funzionale,"Sistema informatico rapido, nessuna attesa anche con molte persone da gestire.",Reception,positive
177,Assistenza medica organizzata,"Malato di notte, ci hanno chiamato un medico convenzionato in trenta minuti.",Reception,positive
178,Flessibilità negli orari,"Check out ritardato concesso senza alcuna maggiorazione, gentilezza ammirevole.",Reception,positive
179,Personale della reception preparatissimo,"Rispondono a qualsiasi domanda con competenza, mai imbarazzati.",Reception,positive
180,Accoglienza anche per gli animali,"Amici pet friendly davvero, ciotole e cuccia in camera, cane coccolato.",Reception,positive
181,Servizio taxi prenotato immediatamente,"Chiamato e arrivato in due minuti, reception super efficiente.",Reception,positive
182,Check out via whatsapp,"Opzione digitale comoda per chi ha fretta, procedura rapidissima.",Reception,positive
183,Receptionist consigli ottimi,"Ci hanno suggerito un ottimo ristorante fuori città, scelta azzeccata.",Reception,positive
184,Cordialità dell accoglienza,"Il direttore stesso è venuto a salutare al check in, attenzione rara.",Reception,positive
185,Mappa personalizzata della città,"Ci hanno segnato i posti da vedere e dove mangiare, utilissima.",Reception,positive
186,Servizio efficiente anche in alta stagione,Anche con l hotel pieno non c erano mai file al banco.,Reception,positive
187,Accoglienza italiana vera,"Calda, sorridente, fatta di persone che amano davvero il loro lavoro.",Reception,positive
188,Comunicazione pre arrivo eccellente,Hanno inviato email dettagliate con tutte le info utili prima del check in.,Reception,positive
189,Dettagli curati dell accoglienza,Fiori freschi alla reception e bicchiere d acqua agli ospiti in attesa.,Reception,positive
190,Reception efficiente con gentilezza,"Rapidi senza essere freddi, velocità con sorriso, combinazione rara.",Reception,positive
191,Check in personalizzato per famiglie,Ci hanno fornito culla scaldabiberon e sterilizzatore senza chiederlo.,Reception,positive
192,Prenotazione transfer impeccabile,"Autista puntuale, auto pulita, prezzo onesto, tutto perfetto.",Reception,positive
193,Personale sensibile alle esigenze,Abbiamo una bambina piccola e ci hanno trattato con tantissima cura.,Reception,positive
194,Servizio di receptionist esperto,"Signora con venti anni di esperienza nel settore, si vede la differenza.",Reception,positive
195,Accoglienza al top per la luna di miele,Cesto di frutta champagne e rose in camera senza averlo chiesto.,Reception,positive
196,Reception ben illuminata e curata,Anche l estetica conta e qui hanno fatto le cose per bene.,Reception,positive
197,Receptionist cortese al telefono,Chiamato per informazioni e trattato con gentilezza anche al telefono.,Reception,positive
198,Efficienza nella gestione del gruppo,Eravamo quindici amici e hanno gestito tutto senza un intoppo.,Reception,positive
199,Staff pronto a risolvere ogni problema,Ogni piccolo inconveniente gestito in tempi rapidissimi.,Reception,positive
200,Ricevuti come vecchi amici,"Al ritorno dopo due anni si ricordavano ancora di noi, incredibile.",Reception,positive
201,Assistenza per itinerari personalizzati,"Ci hanno costruito un tour della zona su misura, grande valore aggiunto.",Reception,positive
202,Check in con rose per l anniversario,"Attenzione speciale non richiesta per il nostro anniversario, commoventi.",Reception,positive
203,Reception pronta a ogni richiesta,"Qualsiasi cosa servisse arrivava in un baleno, servizio di livello.",Reception,positive
204,Prenotazioni ristoranti efficientissime,Ci hanno prenotato anche ristoranti famosi quasi impossibili da trovare.,Reception,positive
205,Personale reception attento ai dettagli,"Notavano tutto, perfino che ci piaceva il caffè al volo al mattino.",Reception,positive
206,Accoglienza serale calorosa,Arrivati tardi e stanchi ci hanno portato tè e biscotti in camera.,Reception,positive
207,Reception organizzata magistralmente,"Sistema efficiente, zero attese, professionalità visibile.",Reception,positive
208,Prenotazione modificata senza problemi,Ho cambiato nomi ospiti tre giorni prima senza alcuna difficoltà.,Reception,positive
209,Check in automatico funzionante,Il totem di self check in funziona ma c era anche personale per assistenza.,Reception,positive
210,Receptionist come una guida turistica,"Conoscono tutto, dai musei ai mercatini di quartiere, preparatissimi.",Reception,positive
211,Cordialità dell intero staff di front office,Dal direttore ai facchini tutti cortesi e disponibili.,Reception,positive
212,Colazione deludente,"Cornetti congelati appena scongelati, caffè annacquato e succhi di arancia in cartone.",F&B,negative
213,Cena scadente,"Piatti scarsi, sapori piatti, prezzi alti per la qualità offerta davvero bassa.",F&B,negative
214,Ristorante da evitare,"Pesce non fresco e pasta scotta, non ci torneremo mai più.",F&B,negative
215,Buffet sempre vuoto,"Quando arrivavamo era tutto finito, nessuno ricaricava i vassoi, disorganizzazione totale.",F&B,negative
216,Servizio lentissimo al ristorante,"Un ora per i primi, due per i secondi, cena interminabile e cibo freddo.",F&B,negative
217,Cucina sciatta,"Insalate appassite, pasta collosa, carne gommosa, impossibile da mangiare.",F&B,negative
218,Colazione scarsa e triste,"Due cornetti secchi e fette biscottate industriali, niente di fresco.",F&B,negative
219,Chef distratto,"Hanno sbagliato ordine tre volte, mandato indietro piatti non richiesti.",F&B,negative
220,Cameriere scortese,"Rispondeva in malo modo, sospirava a ogni richiesta, atteggiamento inaccettabile.",F&B,negative
221,Pizza bruciata,"Bordo carbonizzato e centro crudo, impossibile farla così male, impasto industriale.",F&B,negative
222,Vini conservati male,"Vino rosso servito bollente, bianco caldo, cantina non climatizzata, disastro.",F&B,negative
223,Qualità carne pessima,"Filetto duro come una suola, sapore di freezer, non la servirei nemmeno al cane.",F&B,negative
224,Dolci dal gusto strano,"Tiramisù con sapore di plastica, non capisco cosa ci abbiano messo dentro.",F&B,negative
225,Menu ridotto e noioso,"Sempre le stesse tre opzioni per una settimana, zero varietà zero fantasia.",F&B,negative
226,Ristorante sporco,"Tavolo appiccicoso, posate macchiate, ambiente non all altezza di un quattro stelle.",F&B,negative
227,Servizio inesistente,"Chiamati tre volte, nessuno è venuto, abbiamo dovuto alzarci per avere il conto.",F&B,negative
228,Pasta scotta,"Spaghetti una poltiglia, conditi con sugo evidentemente riscaldato più volte.",F&B,negative
229,Pesce congelato spacciato per fresco,"Consistenza della spugna, sapore praticamente assente, vergognoso.",F&B,negative
230,Porzioni ridicole per il prezzo,"Pagato quaranta euro un piatto da tre bocconi, rapporto vergognoso.",F&B,negative
231,Cucina non pulita,"Dalla sala si vedeva la cucina, stoviglie accatastate, livello igienico preoccupante.",F&B,negative
232,Camerieri incompetenti,"Non conoscevano il menu, non sapevano consigliare nulla, confusi anche sugli ingredienti.",F&B,negative
233,Attesa biblica tra le portate,"Quaranta minuti tra un piatto e l altro, orario della cena impossibile.",F&B,negative
234,Vino dal sapore acetato,"Bottiglia ovviamente vecchia, quando lo abbiamo segnalato ci hanno detto che era normale.",F&B,negative
235,Dolce industriale,"Tiramisù preso al supermercato, senza nemmeno toglierlo dalla confezione di plastica.",F&B,negative
236,Piatti freddi,"Arrivati tiepidi dalla cucina, carne completamente raffreddata, lamentela ignorata.",F&B,negative
237,Cena mediocre a prezzo alto,"Ottantacinque euro a testa per un pasto da trattoria di provincia, assurdo.",F&B,negative
238,Colazione ridotta all osso,"Tre tipi di cornetti industriali e caffè da macchinetta, inaccettabile.",F&B,negative
239,Buffet pescato a tempo scaduto,"Alimenti lasciati fuori per ore, caldi di temperatura ambientale, igiene zero.",F&B,negative
240,Cameriera maleducata,"Gettava i piatti sul tavolo, rispondeva piccata, umore nero evidente.",F&B,negative
241,Frutta non fresca,"Mele e banane ammaccate, ananas con macchie marroni, sembrava frutta avanzata.",F&B,negative
242,Caffè imbevibile,"Sapore di bruciato, acqua del rubinetto e polvere vecchia, vergognoso per un hotel.",F&B,negative
243,Cucina che usa ingredienti scadenti,"Si capiva dalla prima forchettata, prosciutto riempito di acqua, formaggio plasticoso.",F&B,negative
244,Prezzo alto e qualità bassa,"Carta dei prezzi da Michelin, cibo da fast food, rapporto inaccettabile.",F&B,negative
245,Pane raffermo,"Servito pane del giorno prima evidentemente, durezza imbarazzante.",F&B,negative
246,Piatto del giorno immangiabile,"Lasagna bruciata sopra e fredda dentro, abbiamo mandato indietro e pagato lo stesso.",F&B,negative
247,Ristorante caotico e rumoroso,"Acustica pessima, vicino alla cucina si sentivano le urla dello chef, disagio continuo.",F&B,negative
